"","q2","q3","q4","q11","q61","q62","q63","q64","q68","q69"
"261",1990,1,6,1,9,-9,NA,2,1,90000
"262",1984,2,6,1,9,21,NA,2,1,280000
"263",1985,2,6,-8,10,21,NA,2,1,-8
"264",1989,2,6,2,9,4,1,2,1,120000
"265",1959,1,6,2,7,6,1,2,1,-8
"266",1978,1,6,1,9,12,3,13,12,250000
"267",1988,2,6,1,9,21,NA,2,1,160000
"268",1984,1,6,3,5,8,2,2,1,70000
"269",1957,1,6,1,10,2,2,13,3,70000
"270",1947,1,9,-9,6,22,1,2,4,-9
"271",1961,2,10,1,5,22,3,2,4,350000
"272",1963,1,10,2,7,-8,1,2,1,65000
"273",1959,1,10,-8,9,-8,-9,2,4,2e+05
"274",2000,2,6,2,8,5,4,2,6,121000
"275",1982,1,10,-9,7,21,NA,2,1,0
"276",1977,1,10,2,9,6,2,2,1,110000
"277",1982,2,10,-9,9,-9,3,2,3,40000
"278",1959,2,10,1,10,21,NA,2,11,-8
"279",1945,1,10,NA,5,21,NA,2,4,15000
"280",1968,1,10,3,10,21,-9,4,3,-9
"281",1997,2,10,3,8,21,NA,2,9,-9
"282",1941,2,10,-9,9,12,3,2,4,-8
"283",1969,1,10,-9,5,14,2,2,8,15000
"284",1985,1,10,2,7,14,1,2,3,-8
"285",1978,1,10,5,4,22,3,2,1,32000
"286",1972,2,10,5,10,21,NA,2,1,0
"287",1962,1,10,2,5,22,1,2,12,35000
"288",1958,2,10,1,9,21,NA,2,4,54000
"289",1947,1,10,-9,5,21,NA,2,4,-9
"290",1947,1,10,-9,7,-9,NA,2,1,189000
"291",1949,1,10,2,11,1,2,2,4,150000
"292",1960,2,10,5,9,14,3,2,1,75000
"293",1980,1,10,-9,9,21,NA,8,6,180000
"294",1980,1,10,3,10,21,NA,2,1,77000
"295",1969,2,10,3,9,21,NA,2,1,58000
"296",1960,2,10,1,5,22,1,2,1,0
"297",1995,1,10,5,7,21,NA,2,5,37000
"298",1972,1,10,-8,6,21,NA,2,1,85000
"299",1966,1,10,1,10,8,3,13,1,2e+05
"300",1984,1,10,1,6,1,2,2,3,-9
"301",1990,1,10,1,9,2,2,-8,1,-8
"302",1957,2,10,-9,7,1,1,2,2,78000
"303",1954,1,10,2,10,21,NA,2,3,-9
"304",1985,2,10,-9,7,6,3,2,1,45000
"305",1969,1,10,2,9,7,2,2,3,150000
"306",1970,1,6,2,9,1,2,2,1,160000
"307",1969,1,10,1,8,21,NA,2,1,75000
"308",1971,1,10,-9,6,12,2,2,1,-9
"309",1952,1,7,1,4,11,-8,13,4,15000
"310",1968,1,10,-9,11,21,NA,2,3,2e+05
"311",1972,2,10,-9,7,21,NA,2,3,80000
"312",1976,1,10,1,5,21,NA,2,1,150000
"313",1953,1,10,-9,6,21,NA,2,4,85000
"314",1993,2,10,1,9,2,3,13,9,25000
"315",1963,1,10,5,9,21,NA,2,3,175000
"316",1984,1,10,-8,5,21,NA,2,3,160000
"317",1983,2,10,1,7,21,NA,2,1,45000
"318",1987,1,10,-9,9,2,1,2,3,150000
"319",1956,2,10,1,7,21,NA,2,1,65000
"320",1989,1,10,1,9,-9,NA,2,1,1e+05
"321",1979,2,10,-9,7,21,NA,2,1,150000
"322",2000,2,10,3,5,10,2,2,9,-9
"323",1982,2,10,3,5,10,2,7,2,50000
"324",1979,1,10,-9,5,21,NA,2,3,68000
"325",1988,1,10,2,5,21,NA,2,1,160000
"326",1994,2,10,1,9,21,NA,2,1,68000
"327",1983,1,9,2,6,21,NA,2,1,-9
"328",1997,1,9,2,7,16,2,2,1,25000
"329",1945,1,9,-8,5,12,1,2,4,-8
"330",1963,1,9,2,7,-9,NA,2,1,60000
"331",1990,1,9,-9,7,-8,3,2,1,63000
"332",1966,1,9,2,7,9,1,2,1,130000
"333",1989,2,9,3,5,21,4,2,8,22000
"334",1983,1,9,1,9,12,3,2,1,240000
"335",1998,2,9,3,8,21,NA,2,6,13000
"336",1954,2,9,1,9,21,NA,2,4,45000
"337",1974,1,9,-9,5,21,NA,2,1,-8
"338",1969,2,9,5,7,21,NA,2,1,150000
"339",1995,1,9,3,5,21,NA,2,1,25000
"340",1957,1,9,2,7,-8,2,2,10,150000
"341",1993,2,9,-9,7,12,3,2,3,28000
"342",1990,2,9,1,9,14,2,2,1,55000
"343",1985,1,9,1,7,21,NA,2,1,120000
"344",1964,2,9,2,6,4,3,13,5,75000
"345",1954,1,9,2,9,6,1,2,1,125000
"346",1989,1,9,2,5,14,1,2,3,90000
"347",1956,1,9,-9,7,14,2,2,1,40000
"348",1973,1,9,-9,9,1,2,13,1,70000
"349",1984,1,9,-8,10,21,NA,7,5,150000
"350",1987,2,9,2,7,14,2,2,12,60000
"351",1957,1,9,2,5,6,2,2,4,-8
"352",1970,2,9,2,11,11,2,7,1,172000
"353",1958,2,9,-9,10,-8,2,2,-8,-8
"354",1964,2,9,1,7,12,1,2,1,150000
"355",1955,2,9,-9,10,6,-8,2,1,1e+05
"356",1957,2,9,-9,8,21,NA,2,1,-8
"357",1944,1,9,2,2,6,1,2,4,31000
"358",1957,1,9,2,7,6,2,2,2,75000
"359",1976,1,9,2,4,6,2,2,1,140000
"360",1955,2,9,2,9,22,3,2,2,170000
"361",1960,1,9,2,9,1,2,2,1,5e+05
"362",1986,1,9,2,5,8,2,2,3,15000
"363",1968,1,9,1,9,6,2,2,1,160000
"364",1991,1,9,1,9,21,NA,2,1,80000
"365",1980,2,9,2,7,21,NA,2,1,185000
"366",1991,2,9,3,9,3,3,2,12,88000
"367",1950,1,9,2,8,3,1,2,1,120000
"368",1963,2,9,2,8,14,1,2,1,-8
"369",1973,1,9,2,7,1,2,2,3,123000
"370",1990,1,9,2,5,6,3,2,1,1e+05
"371",1952,1,9,2,9,-8,1,2,4,652000
"372",1962,1,9,2,7,6,2,2,1,250000
"373",1997,1,7,1,8,20,1,2,6,21000
"374",1993,2,7,NA,9,21,NA,2,1,6e+05
"375",1980,2,7,1,9,1,3,2,1,1e+05
"376",1979,1,7,2,7,1,1,2,1,140000
"377",1996,1,6,NA,4,5,1,2,1,-9
"378",1968,1,7,2,10,11,-9,7,5,75000
"379",1990,2,7,2,9,6,2,2,3,110000
"380",1968,2,7,-9,7,21,NA,2,10,1e+05
"381",1988,2,7,-9,5,6,2,2,2,-9
"382",1973,1,7,2,8,6,1,2,1,170000
"383",1990,1,7,2,7,14,4,2,1,120000
"384",1984,1,7,1,9,21,NA,2,1,75000
"385",1978,2,7,1,7,14,2,2,1,150000
"386",1961,1,8,3,9,21,NA,2,1,98000
"387",1962,2,8,2,9,21,NA,2,11,90000
"388",1986,1,8,2,6,6,2,2,3,70000
"389",1949,1,8,1,9,21,NA,2,4,-8
"390",1990,1,9,2,7,19,1,2,10,82000
"391",1953,2,8,-9,8,12,2,2,1,50000
"392",1948,2,8,2,9,6,1,2,11,-8
"393",1998,1,8,2,8,14,2,2,1,35000
"394",1966,1,8,-9,7,21,NA,2,1,225000
"395",1989,2,9,2,9,14,1,2,12,90000
"396",1974,1,1,-9,9,6,4,2,1,112000
"397",1969,2,1,3,9,12,2,2,1,195000
"398",1985,1,1,3,9,21,NA,2,8,0
"399",1962,1,1,-9,8,6,2,2,1,-8
"400",1977,2,1,NA,8,6,2,2,1,-9
"401",1958,1,2,2,11,6,4,2,3,385000
"402",1993,2,2,-9,11,-9,4,2,1,0
"403",1988,2,2,1,7,21,NA,2,1,80000
"404",1969,2,2,1,7,21,NA,2,1,75000
"405",1987,1,2,7,5,22,2,2,2,10000
"406",1975,2,3,-9,6,12,2,2,1,104000
"407",1994,2,3,-9,7,6,4,2,1,15000
"408",1981,2,3,-8,10,21,NA,2,1,-8
"409",1991,1,3,1,8,21,NA,2,1,45000
"410",1971,2,3,2,9,6,2,2,1,94000
"411",1992,1,3,5,7,21,NA,2,2,38000
"412",1967,2,3,-9,7,6,2,2,8,-9
"413",1955,1,3,-9,7,9,2,2,4,35000
"414",1998,2,3,-9,8,21,NA,2,9,-9
"415",1961,1,3,2,7,1,3,2,1,125000
"416",1975,2,3,1,10,6,4,2,1,105000
"417",1982,2,3,2,9,22,1,2,1,-9
"418",1950,2,3,-8,8,6,2,2,4,35000
"419",1981,1,3,2,5,22,1,2,1,0
"420",1983,2,3,-8,9,5,2,4,1,90000
"421",1988,1,9,5,11,21,NA,2,1,-9
"422",1972,1,3,3,7,14,1,2,1,25000
"423",1986,1,10,-9,9,21,NA,3,1,110000
"424",1987,1,3,1,11,21,NA,2,1,250000
"425",1964,2,3,-9,10,6,2,2,1,150000
"426",1974,1,3,2,9,21,NA,2,1,190000
"427",2000,1,3,3,5,6,3,2,1,28000
"428",1958,1,3,1,10,6,1,2,2,120000
"429",1967,2,3,9,11,21,NA,2,1,70000
"430",1946,1,3,2,8,5,1,2,4,17000
"431",1987,2,3,2,9,6,2,2,10,75000
"432",1992,2,8,-9,9,21,NA,2,1,30000
"433",1954,1,8,2,6,17,2,2,1,90000
"434",1993,2,8,-9,11,15,2,2,1,70000
"435",1940,1,8,1,11,12,2,2,4,61000
"436",1962,2,8,-8,5,1,2,2,4,-8
"437",2001,1,8,-9,4,21,NA,2,6,49000
"438",1983,1,8,2,7,17,2,2,1,105000
"439",1996,2,8,2,7,14,3,2,1,98000
"440",1956,2,8,6,7,12,2,2,1,98000
"441",1963,2,8,2,7,14,1,2,1,58000
"442",1979,1,8,1,8,21,NA,2,3,120000
"443",1965,2,9,2,10,6,1,13,1,-8
"444",1984,1,5,1,6,21,NA,2,3,152000
"445",1964,1,5,1,7,6,4,2,8,15000
"446",1955,2,4,1,9,9,2,2,4,80000
"447",1974,2,4,2,8,6,3,2,1,90000
"448",1946,2,4,1,10,1,2,2,4,0
"449",1963,1,4,-9,7,6,2,2,1,55000
"450",1957,2,4,-9,8,6,4,2,2,28000
"451",1930,2,1,1,8,9,1,13,4,35000
"452",1959,1,3,5,10,6,1,2,10,90000
"453",1948,2,3,1,10,12,2,2,4,130000
"454",1948,1,10,2,9,-9,NA,2,4,50000
"455",1954,2,10,-9,10,1,3,2,4,130000
"456",1964,2,10,-9,7,21,NA,2,2,40000
"457",1954,2,10,-9,8,18,1,2,4,-8
"458",1939,1,10,2,8,21,NA,2,4,40000
"459",1955,2,10,-8,9,1,3,2,4,-8
"460",1946,1,10,-9,10,21,NA,12,4,-9
"461",1947,1,10,-9,8,-8,2,2,4,85000
"462",1939,1,10,5,11,21,NA,1,4,74000
"463",1957,1,10,7,8,14,1,2,7,50000
"464",1976,2,10,2,9,16,1,2,10,-9
"465",1977,1,10,-9,6,6,3,2,3,2e+05
"466",1956,2,10,3,9,21,NA,2,4,36000
"467",1951,1,10,5,9,21,NA,2,4,102000
"468",1943,1,10,5,6,21,NA,2,4,18000
"469",1970,1,10,2,5,14,1,2,3,-8
"470",1954,1,10,1,7,21,NA,2,3,5e+05
"471",1971,1,10,-9,10,21,NA,7,3,120000
"472",1947,1,10,3,11,21,NA,2,11,90000
"473",1950,1,10,3,9,21,NA,2,4,35000
"474",1985,2,10,2,4,7,2,2,1,32000
"475",1947,1,10,2,5,4,1,2,4,40000
"476",1966,2,10,2,5,21,NA,2,8,20000
"477",1947,1,10,1,11,2,2,7,4,140000
"478",1973,1,10,5,9,21,NA,2,3,114000
"479",1951,1,10,1,7,6,2,2,4,80000
"480",1945,1,10,3,7,7,3,13,4,45000
"481",1937,2,10,2,8,14,3,2,4,18000
"482",1924,1,10,7,9,21,NA,2,4,17000
"483",1982,2,10,2,6,21,NA,2,12,140000
"484",1946,2,10,3,9,21,NA,2,4,48000
"485",1962,2,10,-9,7,9,4,2,1,43000
"486",1951,1,10,1,10,21,NA,2,4,90000
"487",1974,2,10,-9,8,21,NA,2,9,50000
"488",1974,2,10,2,7,6,2,2,1,160000
"489",1942,2,10,1,7,-9,3,2,4,-8
"490",1950,1,10,2,9,14,1,2,4,3000
"491",1939,1,6,6,8,14,1,2,4,-8
"492",1950,1,6,1,10,5,1,2,4,-8
"493",1980,1,6,-9,4,21,NA,2,1,150000
"494",1975,2,6,2,6,6,2,2,8,140000
"495",1945,1,6,1,4,1,2,2,4,18000
"496",1959,1,6,5,11,21,NA,2,4,132000
"497",1946,1,6,1,6,9,3,2,4,150000
"498",1943,1,6,1,10,6,2,2,4,80000
"499",1999,2,6,-8,8,2,1,2,-8,-8
"500",1968,2,6,-9,4,21,NA,2,8,16000
"501",1954,2,6,2,7,16,1,2,4,-8
"502",1966,1,6,2,9,6,4,2,5,215000
"503",1937,1,6,1,5,6,2,2,3,120000
"504",1966,1,6,2,6,21,NA,2,1,250000
"505",1937,2,6,NA,9,1,2,2,4,-8
"506",1944,1,6,1,8,21,NA,13,4,39000
"507",1960,1,6,2,11,7,2,2,1,3e+05
"508",1959,1,6,2,5,12,3,2,2,35000
"509",1942,1,6,-9,11,21,NA,13,4,-8
"510",1937,2,6,2,9,6,1,2,4,-9
"511",1954,1,6,2,10,7,3,2,11,370000
"512",1946,1,6,5,10,21,NA,2,4,24000
"513",1961,1,6,-9,9,6,1,2,1,175000
"514",1944,2,6,-8,7,14,-8,13,4,0
"515",1959,2,6,3,6,22,1,2,2,23000
"516",1951,1,6,2,7,6,1,2,4,-8
"517",1939,1,6,2,9,6,1,2,4,1e+05
"518",1948,2,6,1,7,-8,-8,2,4,26000
"519",1980,1,6,-9,9,22,2,2,1,160000
"520",1977,2,6,2,7,6,3,2,5,140000
"521",1951,1,6,-9,11,21,NA,2,4,3e+05
"522",1974,2,6,1,9,6,1,2,10,2e+05
"523",1949,1,6,-9,9,6,1,2,4,73000
"524",1953,1,6,5,9,5,1,2,4,-9
"525",1990,2,6,3,9,2,1,2,1,-9
"526",1968,1,6,1,10,21,NA,7,1,180000
"527",1981,1,6,2,5,21,NA,2,3,60000
"528",1947,1,6,2,4,14,1,2,4,30000
"529",1946,1,6,5,9,8,1,2,4,70000
"530",1962,1,6,5,6,21,NA,2,4,-8
"531",1966,2,2,NA,10,6,2,2,1,-8
"532",1951,1,6,1,9,1,3,2,4,350000
"533",1930,1,6,1,10,21,NA,2,4,90000
"534",1942,2,6,-8,7,9,2,2,4,-8
"535",1933,2,6,2,6,4,1,2,4,-9
"536",2001,2,6,3,5,5,2,2,6,150000
"537",1957,1,6,2,5,6,2,2,4,40000
"538",1955,2,6,2,7,6,1,10,4,-9
