"","age","sex","education","has_religion","religion_importance","income_family","employment","born_canada","province","n"
"27",21,"Female","High school","No","Not very important","$100,000 to $ 124,999","unemployement","born outside canada","British Columbia",1
"28",21,"Female","High school","No","Not very important","$125,000 and more","employement","born in Canada","Ontario",1
"29",21,"Female","High school","No","Not very important","$25,000 to $49,999","unemployement","born in Canada","Ontario",1
"30",21,"Female","High school","No","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","British Columbia",1
"31",21,"Female","High school","No","Very important","$125,000 and more","unemployement","born in Canada","Manitoba",1
"32",21,"Female","High school","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Alberta",1
"33",21,"Female","High school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"34",21,"Female","High school","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Nova Scotia",1
"35",21,"Female","High school","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Manitoba",1
"36",21,"Female","High school","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Ontario",1
"37",21,"Female","High school","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Ontario",1
"38",21,"Female","Less than high school","Yes","Not important at all","Less than $25,000","employement","born in Canada","Prince Edward Island",1
"39",21,"Female","Less than high school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Nova Scotia",1
"40",21,"Female","Trade diploma","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Quebec",1
"41",21,"Male","College","No","Not important at all","$125,000 and more","unemployement","born in Canada","Manitoba",1
"42",21,"Male","College","No","Not important at all","$125,000 and more","unemployement","born in Canada","Quebec",1
"43",21,"Male","College","Yes","Not important at all","$25,000 to $49,999","employement","born in Canada","Quebec",1
"44",21,"Male","High school","No","Not important at all","$100,000 to $ 124,999","unemployement","born in Canada","Quebec",1
"45",21,"Male","High school","No","Not important at all","$125,000 and more","unemployement","born in Canada","Manitoba",1
"46",21,"Male","High school","No","Not important at all","$25,000 to $49,999","unemployement","born in Canada","Nova Scotia",1
"47",21,"Male","High school","No","Not very important","$125,000 and more","unemployement","born in Canada","Ontario",1
"48",21,"Male","High school","No","Not very important","$25,000 to $49,999","employement","born in Canada","Nova Scotia",1
"49",21,"Male","High school","No","Very important","$100,000 to $ 124,999","employement","born in Canada","Nova Scotia",1
"50",21,"Male","High school","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Saskatchewan",1
"51",21,"Male","High school","Yes","Not very important","$100,000 to $ 124,999","unemployement","born in Canada","British Columbia",1
"52",21,"Male","High school","Yes","Not very important","$125,000 and more","employement","born in Canada","Ontario",1
"53",21,"Male","High school","Yes","Not very important","$125,000 and more","unemployement","born in Canada","Nova Scotia",1
"54",21,"Male","High school","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Ontario",1
"55",21,"Male","High school","Yes","Somewhat important","$75,000 to $99,999","unemployement","born outside canada","British Columbia",1
"56",21,"Male","High school","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Ontario",1
"57",21,"Male","High school","Yes","Very important","$75,000 to $99,999","employement","born in Canada","British Columbia",1
"58",21,"Male","Trade diploma","Yes","Not important at all","$125,000 and more","unemployement","born in Canada","Quebec",1
"59",21,"Male","University","No","Not important at all","$125,000 and more","employement","born in Canada","British Columbia",1
"60",22,"Female","Bachelor degree","No","Not important at all","$125,000 and more","unemployement","born in Canada","Ontario",1
"61",22,"Female","Bachelor degree","No","Not important at all","$25,000 to $49,999","unemployement","born outside canada","Quebec",1
"62",22,"Female","Bachelor degree","No","Not very important","$125,000 and more","unemployement","born in Canada","Ontario",1
"63",22,"Female","Bachelor degree","No","Not very important","$25,000 to $49,999","unemployement","born outside canada","Ontario",1
"64",22,"Female","Bachelor degree","No","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"65",22,"Female","College","No","Not important at all","$75,000 to $99,999","employement","born in Canada","British Columbia",1
"66",22,"Female","College","No","Not important at all","Less than $25,000","unemployement","born in Canada","Quebec",1
"67",22,"Female","College","No","Not very important","$25,000 to $49,999","employement","born in Canada","Alberta",1
"68",22,"Female","College","No","Not very important","Less than $25,000","unemployement","born in Canada","Ontario",1
"69",22,"Female","College","No","Very important","$50,000 to $74,999","employement","born in Canada","British Columbia",1
"70",22,"Female","College","Yes","Not important at all","$125,000 and more","employement","born in Canada","Ontario",1
"71",22,"Female","College","Yes","Not very important","$125,000 and more","unemployement","born in Canada","Quebec",1
"72",22,"Female","College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"73",22,"Female","College","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","New Brunswick",1
"74",22,"Female","College","Yes","Somewhat important","Less than $25,000","employement","born outside canada","British Columbia",1
"75",22,"Female","College","Yes","Somewhat important","Less than $25,000","unemployement","born outside canada","Quebec",1
"76",22,"Female","College","Yes","Very important","$100,000 to $ 124,999","employement","born outside canada","Manitoba",1
"77",22,"Female","College","Yes","Very important","$25,000 to $49,999","employement","born outside canada","Manitoba",1
"78",22,"Female","High school","No","Not important at all","$25,000 to $49,999","unemployement","born in Canada","Ontario",1
"79",22,"Female","High school","No","Not important at all","$75,000 to $99,999","employement","born in Canada","Saskatchewan",1
"80",22,"Female","High school","No","Not very important","$75,000 to $99,999","employement","born in Canada","Prince Edward Island",1
"81",22,"Female","High school","No","Not very important","Less than $25,000","unemployement","born outside canada","Ontario",1
"82",22,"Female","High school","No","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","British Columbia",1
"83",22,"Female","High school","Yes","Not very important","$25,000 to $49,999","employement","born in Canada","Nova Scotia",1
"84",22,"Female","High school","Yes","Not very important","$25,000 to $49,999","employement","born in Canada","Ontario",1
"85",22,"Female","High school","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Ontario",1
"86",22,"Female","High school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"87",22,"Female","High school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Saskatchewan",2
"88",22,"Female","High school","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Ontario",1
"89",22,"Female","High school","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Alberta",1
"90",22,"Female","High school","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Ontario",1
"91",22,"Female","High school","Yes","Very important","Less than $25,000","employement","born in Canada","Ontario",1
"92",22,"Female","High school","Yes","Very important","Less than $25,000","unemployement","born outside canada","Ontario",1
"93",22,"Female","Less than high school","Yes","Not very important","Less than $25,000","employement","born in Canada","Ontario",1
"94",22,"Female","Less than high school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta",1
"95",22,"Female","Less than high school","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Ontario",1
"96",22,"Female","Less than high school","Yes","Very important","$25,000 to $49,999","employement","born outside canada","Manitoba",1
"97",22,"Female","Trade diploma","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Quebec",1
"98",22,"Female","Trade diploma","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Quebec",1
"99",22,"Male","Bachelor degree","No","Not important at all","$25,000 to $49,999","employement","born in Canada","Alberta",1
"100",22,"Male","Bachelor degree","No","Not important at all","$50,000 to $74,999","employement","born in Canada","Ontario",1
"101",22,"Male","Bachelor degree","Yes","Not important at all","$125,000 and more","employement","born in Canada","Nova Scotia",1
"102",22,"Male","College","No","Not important at all","$125,000 and more","unemployement","born in Canada","Ontario",1
"103",22,"Male","College","No","Not very important","$125,000 and more","unemployement","born in Canada","Ontario",1
"104",22,"Male","High school","No","Not important at all","$125,000 and more","unemployement","born in Canada","British Columbia",1
"105",22,"Male","High school","No","Not important at all","$125,000 and more","unemployement","born in Canada","Ontario",1
"106",22,"Male","High school","No","Not important at all","$125,000 and more","unemployement","born outside canada","Ontario",1
"107",22,"Male","High school","No","Not important at all","$50,000 to $74,999","unemployement","born in Canada","British Columbia",1
"108",22,"Male","High school","No","Not important at all","Less than $25,000","employement","born in Canada","Ontario",1
"109",22,"Male","High school","No","Not important at all","Less than $25,000","unemployement","born in Canada","British Columbia",2
"110",22,"Male","High school","No","Not very important","$50,000 to $74,999","employement","born in Canada","Alberta",1
"111",22,"Male","High school","Yes","Not very important","$125,000 and more","employement","born in Canada","New Brunswick",1
"112",22,"Male","High school","Yes","Not very important","$125,000 and more","unemployement","born in Canada","Quebec",1
"113",22,"Male","High school","Yes","Not very important","Less than $25,000","unemployement","born in Canada","Quebec",1
"114",22,"Male","High school","Yes","Not very important","Less than $25,000","unemployement","born outside canada","Ontario",1
"115",22,"Male","High school","Yes","Somewhat important","$100,000 to $ 124,999","unemployement","born in Canada","Manitoba",1
"116",22,"Male","High school","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Alberta",1
"117",22,"Male","High school","Yes","Very important","$125,000 and more","employement","born in Canada","Prince Edward Island",1
"118",22,"Male","High school","Yes","Very important","$25,000 to $49,999","unemployement","born outside canada","Ontario",1
"119",22,"Male","High school","Yes","Very important","$50,000 to $74,999","employement","born outside canada","British Columbia",1
"120",22,"Male","Less than high school","Yes","Not very important","$25,000 to $49,999","employement","born in Canada","Quebec",1
"121",22,"Male","University","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Quebec",1
"122",23,"Female","Bachelor degree","No","Not important at all","$50,000 to $74,999","employement","born in Canada","Ontario",2
"123",23,"Female","Bachelor degree","No","Not important at all","$75,000 to $99,999","unemployement","born in Canada","Ontario",1
"124",23,"Female","Bachelor degree","No","Not important at all","Less than $25,000","unemployement","born in Canada","Alberta",1
"125",23,"Female","Bachelor degree","No","Not very important","Less than $25,000","unemployement","born in Canada","British Columbia",1
"126",23,"Female","Bachelor degree","No","Very important","$50,000 to $74,999","employement","born in Canada","Ontario",1
"127",23,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba",1
"128",23,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","New Brunswick",1
"129",23,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Nova Scotia",1
"130",23,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born outside canada","Ontario",1
"131",23,"Female","Bachelor degree","Yes","Very important","$25,000 to $49,999","unemployement","born outside canada","British Columbia",1
"132",23,"Female","Bachelor degree","Yes","Very important","$75,000 to $99,999","unemployement","born outside canada","Ontario",1
"133",23,"Female","College","No","Not important at all","Less than $25,000","employement","born in Canada","Ontario",1
"134",23,"Female","College","No","Not very important","$25,000 to $49,999","employement","born in Canada","Prince Edward Island",1
"135",23,"Female","College","No","Somewhat important","$100,000 to $ 124,999","unemployement","born in Canada","Ontario",1
"136",23,"Female","College","Yes","Not important at all","Less than $25,000","employement","born in Canada","Nova Scotia",1
"137",23,"Female","College","Yes","Not very important","$125,000 and more","employement","born in Canada","Ontario",1
"138",23,"Female","College","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Quebec",1
"139",23,"Female","College","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Ontario",1
"140",23,"Female","College","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Alberta",1
"141",23,"Female","College","Yes","Very important","$25,000 to $49,999","employement","born outside canada","Alberta",1
"142",23,"Female","College","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","Saskatchewan",1
"143",23,"Female","High school","No","Not important at all","$25,000 to $49,999","unemployement","born outside canada","British Columbia",1
"144",23,"Female","High school","No","Not very important","Less than $25,000","unemployement","born outside canada","Ontario",1
"145",23,"Female","High school","No","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"146",23,"Female","High school","Yes","Not important at all","Less than $25,000","employement","born in Canada","British Columbia",1
"147",23,"Female","High school","Yes","Not important at all","Less than $25,000","employement","born in Canada","Quebec",1
"148",23,"Female","High school","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","British Columbia",1
"149",23,"Female","High school","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","New Brunswick",1
"150",23,"Female","High school","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","New Brunswick",1
"151",23,"Female","High school","Yes","Very important","$100,000 to $ 124,999","employement","born outside canada","Ontario",1
"152",23,"Female","Less than high school","No","Very important","$25,000 to $49,999","unemployement","born outside canada","Quebec",1
"153",23,"Female","Trade diploma","No","Very important","Less than $25,000","employement","born in Canada","British Columbia",1
"154",23,"Female","Trade diploma","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Quebec",1
"155",23,"Male","Above bachelor","Yes","Not important at all","$50,000 to $74,999","employement","born in Canada","Ontario",1
"156",23,"Male","Bachelor degree","No","Not very important","$125,000 and more","unemployement","born in Canada","Ontario",1
"157",23,"Male","College","No","Not important at all","$25,000 to $49,999","unemployement","born in Canada","Prince Edward Island",1
"158",23,"Male","College","Yes","Not important at all","$125,000 and more","unemployement","born in Canada","New Brunswick",1
"159",23,"Male","College","Yes","Not very important","$125,000 and more","unemployement","born in Canada","Manitoba",1
"160",23,"Male","High school","No","Not important at all","$25,000 to $49,999","unemployement","born in Canada","New Brunswick",1
"161",23,"Male","High school","No","Not important at all","Less than $25,000","unemployement","born outside canada","Manitoba",1
"162",23,"Male","High school","No","Not very important","$25,000 to $49,999","unemployement","born in Canada","Manitoba",1
"163",23,"Male","High school","Yes","Not very important","$50,000 to $74,999","unemployement","born in Canada","Alberta",1
"164",23,"Male","High school","Yes","Not very important","$50,000 to $74,999","unemployement","born in Canada","Quebec",1
"165",23,"Male","High school","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Ontario",1
"166",23,"Male","High school","Yes","Somewhat important","Less than $25,000","unemployement","born outside canada","British Columbia",1
"167",23,"Male","High school","Yes","Very important","$125,000 and more","unemployement","born in Canada","Ontario",1
"168",23,"Male","High school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Manitoba",1
"169",23,"Male","High school","Yes","Very important","$75,000 to $99,999","employement","born in Canada","New Brunswick",1
"170",23,"Male","Less than high school","No","Not important at all","$25,000 to $49,999","employement","born in Canada","Quebec",1
"171",23,"Male","Less than high school","No","Not very important","$25,000 to $49,999","employement","born in Canada","Prince Edward Island",1
"172",23,"Male","Less than high school","Yes","Not important at all","$25,000 to $49,999","unemployement","born in Canada","Quebec",1
"173",23,"Male","Trade diploma","No","Not very important","$125,000 and more","unemployement","born in Canada","British Columbia",1
"174",23,"Male","Trade diploma","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Nova Scotia",1
"175",23,"Male","Trade diploma","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Quebec",1
"176",24,"Female","Bachelor degree","No","Not important at all","$100,000 to $ 124,999","employement","born outside canada","Ontario",1
"177",24,"Female","Bachelor degree","No","Not important at all","$125,000 and more","employement","born in Canada","Ontario",1
"178",24,"Female","Bachelor degree","No","Not important at all","$25,000 to $49,999","employement","born in Canada","British Columbia",1
"179",24,"Female","Bachelor degree","No","Not important at all","$50,000 to $74,999","employement","born in Canada","Ontario",1
"180",24,"Female","Bachelor degree","No","Not important at all","$50,000 to $74,999","employement","born in Canada","Prince Edward Island",1
"181",24,"Female","Bachelor degree","No","Not important at all","Less than $25,000","employement","born in Canada","Manitoba",1
"182",24,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"183",24,"Female","Bachelor degree","Yes","Somewhat important","Less than $25,000","employement","born in Canada","Ontario",1
"184",24,"Female","Bachelor degree","Yes","Very important","$125,000 and more","employement","born outside canada","Saskatchewan",1
"185",24,"Female","Bachelor degree","Yes","Very important","$125,000 and more","unemployement","born in Canada","British Columbia",1
"186",24,"Female","Bachelor degree","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Ontario",1
"187",24,"Female","Bachelor degree","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Manitoba",1
"188",24,"Female","Bachelor degree","Yes","Very important","Less than $25,000","employement","born in Canada","Ontario",1
"189",24,"Female","Bachelor degree","Yes","Very important","Less than $25,000","employement","born outside canada","Alberta",1
"190",24,"Female","College","No","Not important at all","$125,000 and more","employement","born in Canada","Ontario",1
"191",24,"Female","College","No","Not important at all","$75,000 to $99,999","employement","born outside canada","Quebec",1
"192",24,"Female","College","No","Not very important","Less than $25,000","employement","born in Canada","Ontario",1
"193",24,"Female","College","Yes","Not important at all","$125,000 and more","employement","born in Canada","New Brunswick",1
"194",24,"Female","College","Yes","Not very important","$25,000 to $49,999","employement","born in Canada","Alberta",1
"195",24,"Female","College","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Ontario",1
"196",24,"Female","College","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Nova Scotia",1
"197",24,"Female","College","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Quebec",1
"198",24,"Female","College","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Ontario",1
"199",24,"Female","College","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Alberta",1
"200",24,"Female","College","Yes","Very important","Less than $25,000","employement","born in Canada","Manitoba",1
"201",24,"Female","College","Yes","Very important","Less than $25,000","employement","born outside canada","Saskatchewan",1
"202",24,"Female","High school","No","Not important at all","$100,000 to $ 124,999","employement","born outside canada","Ontario",1
"203",24,"Female","High school","No","Not important at all","$25,000 to $49,999","employement","born in Canada","British Columbia",1
"204",24,"Female","High school","No","Not important at all","$50,000 to $74,999","employement","born in Canada","Prince Edward Island",1
"205",24,"Female","High school","No","Not important at all","$75,000 to $99,999","employement","born in Canada","Manitoba",1
"206",24,"Female","High school","No","Not important at all","Less than $25,000","employement","born in Canada","Manitoba",1
"207",24,"Female","High school","No","Not very important","$125,000 and more","employement","born in Canada","Quebec",1
"208",24,"Female","High school","No","Not very important","Less than $25,000","employement","born in Canada","Alberta",1
"209",24,"Female","High school","Yes","Not important at all","$125,000 and more","employement","born in Canada","Alberta",1
"210",24,"Female","High school","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Quebec",1
"211",24,"Female","High school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Quebec",1
"212",24,"Female","High school","Yes","Somewhat important","Less than $25,000","employement","born in Canada","New Brunswick",1
"213",24,"Female","High school","Yes","Very important","$25,000 to $49,999","employement","born outside canada","British Columbia",1
"214",24,"Female","High school","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Saskatchewan",1
"215",24,"Female","Less than high school","No","Somewhat important","$50,000 to $74,999","employement","born outside canada","British Columbia",1
"216",24,"Female","Less than high school","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Ontario",1
"217",24,"Female","Trade diploma","No","Not important at all","$100,000 to $ 124,999","employement","born in Canada","Alberta",1
"218",24,"Female","Trade diploma","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Quebec",1
"219",24,"Female","University","Yes","Not very important","$25,000 to $49,999","employement","born outside canada","British Columbia",1
"220",24,"Male","Bachelor degree","No","Not very important","$75,000 to $99,999","employement","born in Canada","Ontario",1
"221",24,"Male","Bachelor degree","Yes","Not important at all","Less than $25,000","unemployement","born in Canada","Quebec",1
"222",24,"Male","Bachelor degree","Yes","Not very important","$50,000 to $74,999","employement","born outside canada","Ontario",1
"223",24,"Male","Bachelor degree","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Alberta",1
"224",24,"Male","Bachelor degree","Yes","Not very important","Less than $25,000","unemployement","born in Canada","Nova Scotia",1
"225",24,"Male","Bachelor degree","Yes","Somewhat important","Less than $25,000","employement","born in Canada","Ontario",1
"226",24,"Male","Bachelor degree","Yes","Very important","$25,000 to $49,999","employement","born outside canada","Nova Scotia",1
"227",24,"Male","Bachelor degree","Yes","Very important","$50,000 to $74,999","unemployement","born outside canada","Saskatchewan",1
"228",24,"Male","College","No","Not important at all","$25,000 to $49,999","employement","born in Canada","Prince Edward Island",1
"229",24,"Male","College","No","Not important at all","$50,000 to $74,999","unemployement","born in Canada","Nova Scotia",1
"230",24,"Male","College","No","Somewhat important","$125,000 and more","employement","born in Canada","Alberta",1
"231",24,"Male","College","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Prince Edward Island",1
"232",24,"Male","High school","No","Not important at all","$25,000 to $49,999","employement","born in Canada","New Brunswick",1
"233",24,"Male","High school","No","Not important at all","$25,000 to $49,999","employement","born in Canada","Ontario",1
"234",24,"Male","High school","No","Not important at all","$25,000 to $49,999","employement","born in Canada","Quebec",1
"235",24,"Male","High school","No","Not important at all","$50,000 to $74,999","employement","born in Canada","Prince Edward Island",1
"236",24,"Male","High school","No","Not very important","Less than $25,000","unemployement","born outside canada","British Columbia",1
"237",24,"Male","High school","Yes","Not important at all","$50,000 to $74,999","employement","born in Canada","Quebec",1
"238",24,"Male","High school","Yes","Not very important","$25,000 to $49,999","employement","born in Canada","Alberta",1
"239",24,"Male","High school","Yes","Somewhat important","Less than $25,000","employement","born in Canada","New Brunswick",1
"240",24,"Male","High school","Yes","Somewhat important","Less than $25,000","employement","born in Canada","Saskatchewan",1
"241",24,"Male","High school","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Saskatchewan",1
"242",24,"Male","High school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","British Columbia",1
"243",24,"Male","Less than high school","No","Not very important","$50,000 to $74,999","employement","born in Canada","Saskatchewan",1
"244",24,"Male","Less than high school","No","Not very important","Less than $25,000","unemployement","born in Canada","Saskatchewan",1
"245",24,"Male","Less than high school","Yes","Not important at all","$50,000 to $74,999","employement","born outside canada","Quebec",1
"246",24,"Male","Less than high school","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Quebec",1
"247",24,"Male","Trade diploma","No","Not important at all","$25,000 to $49,999","unemployement","born in Canada","Saskatchewan",1
"248",24,"Male","Trade diploma","No","Not important at all","$50,000 to $74,999","unemployement","born in Canada","Saskatchewan",1
"249",24,"Male","Trade diploma","No","Not important at all","Less than $25,000","employement","born in Canada","Quebec",1
"250",24,"Male","Trade diploma","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Alberta",1
"251",25,"Female","Above bachelor","Yes","Not very important","$25,000 to $49,999","employement","born in Canada","New Brunswick",1
"252",25,"Female","Above bachelor","Yes","Very important","$50,000 to $74,999","employement","born outside canada","Ontario",1
"253",25,"Female","Bachelor degree","No","Not important at all","$125,000 and more","employement","born in Canada","New Brunswick",1
"254",25,"Female","Bachelor degree","No","Not important at all","$125,000 and more","employement","born in Canada","Ontario",1
"255",25,"Female","Bachelor degree","No","Not important at all","$75,000 to $99,999","employement","born in Canada","Quebec",1
"256",25,"Female","Bachelor degree","No","Somewhat important","$25,000 to $49,999","employement","born outside canada","Ontario",2
"257",25,"Female","Bachelor degree","No","Somewhat important","$75,000 to $99,999","employement","born in Canada","Quebec",1
"258",25,"Female","Bachelor degree","Yes","Not important at all","$75,000 to $99,999","employement","born in Canada","Saskatchewan",1
"259",25,"Female","Bachelor degree","Yes","Somewhat important","$100,000 to $ 124,999","unemployement","born outside canada","British Columbia",1
"260",25,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba",1
"261",25,"Female","Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Ontario",1
"262",25,"Female","Bachelor degree","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Quebec",1
"263",25,"Female","Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Saskatchewan",1
"264",25,"Female","Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","British Columbia",1
"265",25,"Female","Bachelor degree","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Saskatchewan",1
"266",25,"Female","Bachelor degree","Yes","Very important","$25,000 to $49,999","employement","born outside canada","Quebec",1
"267",25,"Female","Bachelor degree","Yes","Very important","$75,000 to $99,999","employement","born outside canada","Alberta",2
"268",25,"Female","College","No","Not important at all","$125,000 and more","employement","born in Canada","Manitoba",1
"269",25,"Female","College","No","Not important at all","$125,000 and more","employement","born in Canada","Nova Scotia",1
"270",25,"Female","College","No","Not important at all","$25,000 to $49,999","employement","born in Canada","Ontario",1
"271",25,"Female","College","No","Not important at all","$50,000 to $74,999","employement","born in Canada","Quebec",1
"272",25,"Female","College","No","Not important at all","$75,000 to $99,999","employement","born in Canada","Ontario",1
"273",25,"Female","College","No","Not very important","$50,000 to $74,999","employement","born in Canada","Quebec",1
"274",25,"Female","College","No","Not very important","Less than $25,000","employement","born in Canada","British Columbia",1
"275",25,"Female","College","Yes","Not important at all","$100,000 to $ 124,999","employement","born in Canada","Quebec",1
"276",25,"Female","College","Yes","Not important at all","$125,000 and more","employement","born in Canada","Ontario",1
"277",25,"Female","College","Yes","Not important at all","$75,000 to $99,999","employement","born in Canada","Prince Edward Island",1
"278",25,"Female","College","Yes","Not very important","$25,000 to $49,999","unemployement","born in Canada","Manitoba",1
"279",25,"Female","College","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Nova Scotia",1
"280",25,"Female","College","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Alberta",1
"281",25,"Female","College","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Nova Scotia",1
