"","age","sex","vote_Liberal","education","has_religion","religion_importance","income_family","employment","born_canada","province"
"94",42,"Female",1,"Bachelor degree","Yes","Not very important","$125,000 and more","employement","born outside canada","Alberta"
"100",52,"Male",1,"Trade diploma","Yes","Somewhat important","$25,000 to $49,999","employement","born outside canada","Ontario"
"104",41,"Male",0,"High school","Yes","Not important at all","$25,000 to $49,999","employement","born in Canada","Quebec"
"108",30,"Male",0,"High school","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Quebec"
"118",50,"Male",1,"Bachelor degree","Yes","Not important at all","$125,000 and more","employement","born in Canada","Alberta"
"121",18,"Male",0,"High school","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Quebec"
"131",33,"Female",0,"Above bachelor","Yes","Very important","$75,000 to $99,999","employement","born outside canada","British Columbia"
"135",33,"Male",1,"Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","employement","born outside canada","Alberta"
"140",40,"Female",0,"Bachelor degree","No","Not important at all","$125,000 and more","employement","born in Canada","Alberta"
"142",50,"Female",0,"Trade diploma","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Ontario"
"147",18,"Male",0,"High school","Yes","Somewhat important","Less than $25,000","unemployement","born outside canada","Quebec"
"148",58,"Female",0,"College","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Manitoba"
"151",55,"Female",0,"University","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Saskatchewan"
"155",60,"Male",0,"Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","Alberta"
"157",24,"Female",0,"Bachelor degree","Yes","Very important","$25,000 to $49,999","employement","born in Canada","Alberta"
"163",75,"Male",1,"Trade diploma","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Ontario"
"167",61,"Male",1,"High school","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Quebec"
"168",46,"Male",1,"Trade diploma","Yes","Not very important","$50,000 to $74,999","unemployement","born in Canada","Ontario"
"173",40,"Female",1,"Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","employement","born outside canada","Alberta"
"180",68,"Female",0,"Above bachelor","Yes","Not important at all","$75,000 to $99,999","unemployement","born in Canada","British Columbia"
"182",70,"Male",0,"Less than high school","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","New Brunswick"
"184",35,"Male",1,"Above bachelor","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","British Columbia"
"187",43,"Male",0,"Bachelor degree","Yes","Not very important","$125,000 and more","employement","born in Canada","Alberta"
"188",54,"Male",0,"College","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Manitoba"
"189",72,"Male",1,"College","Yes","Somewhat important","Less than $25,000","unemployement","born outside canada","Manitoba"
"191",30,"Male",1,"Above bachelor","Yes","Somewhat important","$125,000 and more","employement","born in Canada","British Columbia"
"199",63,"Female",1,"High school","Yes","Very important","Less than $25,000","employement","born outside canada","Quebec"
"201",29,"Female",0,"College","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","Manitoba"
"207",72,"Male",0,"College","Yes","Very important","$50,000 to $74,999","unemployement","born outside canada","Manitoba"
"209",57,"Male",1,"Above bachelor","Yes","Very important","$50,000 to $74,999","employement","born outside canada","British Columbia"
"210",55,"Male",1,"College","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Manitoba"
"217",39,"Male",0,"College","Yes","Not very important","$125,000 and more","employement","born in Canada","Manitoba"
"218",56,"Male",0,"College","Yes","Not very important","Less than $25,000","employement","born in Canada","Manitoba"
"219",40,"Male",1,"Bachelor degree","Yes","Somewhat important","$100,000 to $ 124,999","employement","born outside canada","Alberta"
"221",64,"Male",1,"High school","Yes","Somewhat important","$100,000 to $ 124,999","unemployement","born outside canada","Quebec"
"222",66,"Female",0,"Bachelor degree","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Alberta"
"223",25,"Male",0,"College","Yes","Very important","$125,000 and more","employement","born in Canada","Manitoba"
"225",43,"Female",1,"High school","Yes","Not important at all","$125,000 and more","employement","born in Canada","Quebec"
"226",69,"Female",0,"High school","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Quebec"
"229",50,"Female",0,"University","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Saskatchewan"
"230",26,"Female",0,"College","Yes","Somewhat important","$100,000 to $ 124,999","employement","born outside canada","Manitoba"
"233",30,"Male",0,"Above bachelor","Yes","Not important at all","$125,000 and more","employement","born in Canada","British Columbia"
"238",40,"Male",1,"Trade diploma","Yes","Very important","Less than $25,000","employement","born outside canada","Ontario"
"241",59,"Female",1,"Above bachelor","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","British Columbia"
"246",46,"Male",1,"Above bachelor","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","British Columbia"
"249",49,"Male",1,"Bachelor degree","Yes","Somewhat important","$75,000 to $99,999","employement","born outside canada","Alberta"
"250",69,"Male",0,"Bachelor degree","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Alberta"
"256",26,"Female",0,"Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Alberta"
"257",63,"Male",0,"Bachelor degree","Yes","Very important","$50,000 to $74,999","employement","born outside canada","Alberta"
"260",39,"Female",0,"College","Yes","Very important","$125,000 and more","employement","born in Canada","Manitoba"
"264",30,"Female",0,"Bachelor degree","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Alberta"
"268",35,"Male",0,"High school","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Quebec"
"269",62,"Male",1,"Above bachelor","Yes","Somewhat important","$50,000 to $74,999","employement","born outside canada","British Columbia"
"271",58,"Female",1,"High school","Yes","Not very important","$125,000 and more","unemployement","born in Canada","Quebec"
"274",19,"Female",0,"University","Yes","Not important at all","$100,000 to $ 124,999","unemployement","born in Canada","Saskatchewan"
"276",42,"Male",0,"Bachelor degree","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Alberta"
"285",41,"Male",0,"Less than high school","Yes","Not very important","$25,000 to $49,999","employement","born in Canada","New Brunswick"
"292",59,"Female",0,"Bachelor degree","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Alberta"
"296",59,"Female",1,"High school","Yes","Very important","Less than $25,000","employement","born in Canada","Quebec"
"299",53,"Male",1,"Above bachelor","Yes","Not very important","$125,000 and more","employement","born outside canada","British Columbia"
"305",50,"Male",0,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"306",49,"Male",0,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"314",26,"Female",1,"Bachelor degree","Yes","Not very important","Less than $25,000","unemployement","born outside canada","Alberta"
"323",37,"Female",0,"High school","Yes","Somewhat important","$50,000 to $74,999","employement","born outside canada","Quebec"
"328",22,"Male",0,"College","Yes","Somewhat important","Less than $25,000","employement","born in Canada","Manitoba"
"332",53,"Male",0,"College","Yes","Very important","$125,000 and more","employement","born in Canada","Manitoba"
"333",30,"Female",0,"High school","No","Not important at all","Less than $25,000","unemployement","born in Canada","Quebec"
"334",36,"Male",1,"Bachelor degree","Yes","Not very important","$125,000 and more","employement","born in Canada","Alberta"
"342",29,"Female",1,"Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Alberta"
"344",55,"Female",0,"Trade diploma","Yes","Not very important","$75,000 to $99,999","unemployement","born outside canada","Ontario"
"345",65,"Male",0,"Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","Alberta"
"346",30,"Male",0,"High school","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Quebec"
"354",55,"Female",1,"College","Yes","Very important","$125,000 and more","employement","born in Canada","Manitoba"
"357",75,"Male",0,"Less than high school","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Prince Edward Island"
"358",62,"Male",0,"College","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Manitoba"
"359",43,"Male",0,"Less than high school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","New Brunswick"
"360",64,"Female",0,"Bachelor degree","Yes","Not very important","$125,000 and more","employement","born in Canada","Alberta"
"361",59,"Male",0,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"362",33,"Male",0,"High school","Yes","Somewhat important","Less than $25,000","employement","born in Canada","Quebec"
"363",51,"Male",1,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"367",69,"Male",0,"University","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","Saskatchewan"
"369",46,"Male",0,"College","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Manitoba"
"370",29,"Male",0,"High school","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Quebec"
"372",57,"Male",0,"College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba"
"373",22,"Male",1,"University","Yes","Very important","Less than $25,000","unemployement","born in Canada","Saskatchewan"
"375",39,"Female",1,"Bachelor degree","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Alberta"
"376",40,"Male",0,"College","Yes","Very important","$125,000 and more","employement","born in Canada","Manitoba"
"379",29,"Female",0,"Bachelor degree","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Alberta"
"382",46,"Male",0,"University","Yes","Very important","$125,000 and more","employement","born in Canada","Saskatchewan"
"383",29,"Male",0,"College","Yes","Not important at all","$100,000 to $ 124,999","employement","born in Canada","Manitoba"
"385",41,"Female",1,"College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba"
"388",33,"Male",0,"Trade diploma","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Ontario"
"390",29,"Male",0,"College","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","Manitoba"
"393",21,"Male",0,"University","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Saskatchewan"
"397",50,"Female",0,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Alberta"
"405",32,"Male",0,"High school","Yes","Somewhat important","Less than $25,000","employement","born in Canada","Quebec"
"410",48,"Female",0,"Bachelor degree","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Alberta"
"415",58,"Male",0,"College","Yes","Not very important","$125,000 and more","employement","born in Canada","Manitoba"
"416",44,"Female",1,"Above bachelor","Yes","Not important at all","$100,000 to $ 124,999","employement","born in Canada","British Columbia"
"419",38,"Male",0,"High school","Yes","Very important","Less than $25,000","employement","born in Canada","Quebec"
"422",47,"Male",0,"College","Yes","Very important","Less than $25,000","employement","born in Canada","Manitoba"
"427",19,"Male",0,"High school","Yes","Not very important","$25,000 to $49,999","employement","born in Canada","Quebec"
"428",61,"Male",1,"Above bachelor","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","British Columbia"
"430",73,"Male",0,"University","Yes","Very important","Less than $25,000","unemployement","born in Canada","Saskatchewan"
"431",32,"Female",0,"Bachelor degree","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Alberta"
"433",65,"Male",0,"Trade diploma","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Ontario"
"438",36,"Male",0,"College","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Manitoba"
"439",23,"Female",0,"College","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Manitoba"
"440",63,"Female",0,"College","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Manitoba"
"441",56,"Female",0,"College","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Manitoba"
"445",55,"Male",1,"College","Yes","Not important at all","Less than $25,000","unemployement","born in Canada","Manitoba"
"446",64,"Female",1,"Bachelor degree","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Alberta"
"447",45,"Female",0,"University","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Saskatchewan"
"448",73,"Female",1,"Above bachelor","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","British Columbia"
"451",89,"Female",1,"University","Yes","Very important","$25,000 to $49,999","unemployement","born outside canada","Saskatchewan"
"452",60,"Male",0,"Above bachelor","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","British Columbia"
"453",71,"Female",1,"Above bachelor","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","British Columbia"
"463",62,"Male",0,"University","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Saskatchewan"
"474",34,"Female",0,"Less than high school","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","New Brunswick"
"475",72,"Male",0,"High school","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Quebec"
"479",68,"Male",1,"College","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Manitoba"
"480",74,"Male",0,"College","Yes","Not very important","$25,000 to $49,999","unemployement","born outside canada","Manitoba"
"481",82,"Female",0,"University","Yes","Not very important","Less than $25,000","unemployement","born in Canada","Saskatchewan"
"488",45,"Female",0,"College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba"
"490",69,"Male",0,"Bachelor degree","Yes","Very important","Less than $25,000","unemployement","born in Canada","Alberta"
"494",44,"Female",0,"Trade diploma","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Ontario"
"495",74,"Male",1,"Less than high school","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","New Brunswick"
"497",73,"Male",1,"Trade diploma","Yes","Not very important","$125,000 and more","unemployement","born in Canada","Ontario"
"498",76,"Male",1,"Above bachelor","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","British Columbia"
"502",53,"Male",0,"Bachelor degree","Yes","Not important at all","$125,000 and more","unemployement","born in Canada","Alberta"
"503",82,"Male",1,"High school","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Quebec"
"508",60,"Male",0,"High school","Yes","Not very important","$25,000 to $49,999","employement","born in Canada","Quebec"
"511",65,"Male",0,"Above bachelor","Yes","Not very important","$125,000 and more","unemployement","born in Canada","British Columbia"
"515",60,"Female",0,"Trade diploma","Yes","Very important","Less than $25,000","employement","born in Canada","Ontario"
"517",80,"Male",0,"Bachelor degree","Yes","Very important","$100,000 to $ 124,999","unemployement","born in Canada","Alberta"
"520",42,"Female",0,"College","Yes","Not very important","$125,000 and more","unemployement","born in Canada","Manitoba"
"522",45,"Female",1,"Bachelor degree","Yes","Very important","$125,000 and more","unemployement","born in Canada","Alberta"
"528",72,"Male",0,"Less than high school","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","New Brunswick"
"529",73,"Male",0,"Bachelor degree","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Alberta"
"532",68,"Male",1,"Bachelor degree","Yes","Not very important","$125,000 and more","unemployement","born in Canada","Alberta"
"536",18,"Female",0,"High school","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Quebec"
"537",62,"Male",0,"High school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Quebec"
"543",65,"Female",1,"College","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Manitoba"
"545",82,"Female",1,"High school","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Quebec"
"549",63,"Female",1,"Bachelor degree","Yes","Somewhat important","Less than $25,000","employement","born in Canada","Alberta"
"550",58,"Female",0,"Bachelor degree","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Alberta"
"551",73,"Male",0,"Above bachelor","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","British Columbia"
"555",62,"Male",0,"Above bachelor","Yes","Not very important","$75,000 to $99,999","employement","born outside canada","British Columbia"
"556",79,"Female",1,"Above bachelor","Yes","Very important","$50,000 to $74,999","unemployement","born outside canada","British Columbia"
"559",80,"Male",1,"High school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Quebec"
"560",52,"Female",0,"Bachelor degree","Yes","Very important","$125,000 and more","employement","born outside canada","Alberta"
"561",49,"Male",1,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born outside canada","Alberta"
"562",59,"Female",0,"Above bachelor","Yes","Somewhat important","$125,000 and more","employement","born in Canada","British Columbia"
"567",65,"Male",0,"University","Yes","Not important at all","$125,000 and more","employement","born in Canada","Saskatchewan"
"568",85,"Female",1,"Bachelor degree","Yes","Very important","$100,000 to $ 124,999","unemployement","born in Canada","Alberta"
"573",66,"Male",1,"Less than high school","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","New Brunswick"
"576",41,"Female",1,"Above bachelor","Yes","Very important","$50,000 to $74,999","employement","born in Canada","British Columbia"
"579",41,"Female",0,"College","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Manitoba"
"580",55,"Female",0,"Bachelor degree","Yes","Very important","$125,000 and more","employement","born in Canada","Alberta"
"582",80,"Male",0,"Less than high school","Yes","Very important","Less than $25,000","unemployement","born in Canada","New Brunswick"
"586",78,"Male",0,"Above bachelor","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","British Columbia"
"590",62,"Female",1,"High school","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Quebec"
"591",79,"Male",0,"University","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Saskatchewan"
"594",31,"Female",0,"Bachelor degree","Yes","Not very important","$125,000 and more","unemployement","born in Canada","Alberta"
"595",37,"Female",0,"High school","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Quebec"
"598",67,"Female",0,"College","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","Manitoba"
"600",68,"Male",0,"High school","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Quebec"
"601",44,"Female",1,"Above bachelor","Yes","Very important","$100,000 to $ 124,999","employement","born in Canada","British Columbia"
"603",79,"Female",0,"High school","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Quebec"
"607",74,"Female",1,"Bachelor degree","Yes","Very important","$25,000 to $49,999","unemployement","born in Canada","Alberta"
"615",33,"Female",0,"Less than high school","Yes","Very important","$75,000 to $99,999","employement","born outside canada","Nova Scotia"
"623",59,"Male",0,"College","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Manitoba"
"627",59,"Female",0,"Trade diploma","Yes","Not very important","$25,000 to $49,999","unemployement","born in Canada","Ontario"
"629",51,"Female",1,"Bachelor degree","Yes","Not important at all","$50,000 to $74,999","employement","born in Canada","Alberta"
"631",71,"Female",1,"University","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","Saskatchewan"
"632",65,"Female",0,"Trade diploma","Yes","Somewhat important","$50,000 to $74,999","unemployement","born outside canada","Ontario"
"636",37,"Male",1,"High school","Yes","Not important at all","$125,000 and more","employement","born in Canada","Quebec"
"640",57,"Male",1,"Above bachelor","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","British Columbia"
"642",82,"Male",0,"Bachelor degree","Yes","Not very important","$50,000 to $74,999","unemployement","born outside canada","Alberta"
"644",59,"Female",1,"College","Yes","Somewhat important","$50,000 to $74,999","employement","born in Canada","Manitoba"
"645",49,"Male",0,"College","Yes","Not very important","$125,000 and more","employement","born in Canada","Manitoba"
"651",39,"Female",1,"University","Yes","Not very important","$125,000 and more","employement","born in Canada","Saskatchewan"
"655",39,"Female",0,"Above bachelor","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","British Columbia"
"657",92,"Female",0,"Bachelor degree","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Alberta"
"658",74,"Female",0,"High school","Yes","Very important","Less than $25,000","unemployement","born in Canada","Quebec"
"668",47,"Male",1,"College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba"
"677",37,"Male",0,"College","Yes","Somewhat important","$100,000 to $ 124,999","employement","born in Canada","Manitoba"
"678",49,"Male",0,"College","Yes","Not very important","$125,000 and more","employement","born in Canada","Manitoba"
"680",68,"Female",1,"College","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Manitoba"
"681",63,"Male",1,"Trade diploma","Yes","Somewhat important","$75,000 to $99,999","unemployement","born in Canada","Ontario"
"682",42,"Female",0,"Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Alberta"
"704",60,"Female",1,"Bachelor degree","Yes","Very important","$50,000 to $74,999","unemployement","born in Canada","Alberta"
"705",76,"Female",1,"Above bachelor","Yes","Not very important","$50,000 to $74,999","unemployement","born in Canada","British Columbia"
"708",67,"Female",1,"College","Yes","Somewhat important","$125,000 and more","unemployement","born in Canada","Manitoba"
"710",66,"Female",0,"Above bachelor","Yes","Very important","$75,000 to $99,999","unemployement","born in Canada","British Columbia"
"713",63,"Female",0,"Bachelor degree","Yes","Very important","Less than $25,000","unemployement","born in Canada","Alberta"
"714",66,"Male",1,"College","Yes","Not very important","$125,000 and more","unemployement","born in Canada","Manitoba"
"716",47,"Female",1,"Bachelor degree","Yes","Not very important","Less than $25,000","unemployement","born outside canada","Alberta"
"718",65,"Male",1,"High school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Quebec"
"721",26,"Male",0,"College","Yes","Not very important","$100,000 to $ 124,999","unemployement","born in Canada","Manitoba"
"725",61,"Male",0,"High school","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","Quebec"
"728",73,"Female",0,"High school","Yes","Somewhat important","$100,000 to $ 124,999","unemployement","born in Canada","Quebec"
"730",66,"Male",0,"Bachelor degree","Yes","Somewhat important","Less than $25,000","unemployement","born in Canada","Alberta"
"732",45,"Female",0,"College","Yes","Very important","$50,000 to $74,999","employement","born in Canada","Manitoba"
"741",28,"Male",1,"Above bachelor","Yes","Not important at all","$100,000 to $ 124,999","employement","born outside canada","British Columbia"
"743",43,"Female",0,"Above bachelor","Yes","Not very important","$125,000 and more","employement","born in Canada","British Columbia"
"746",33,"Male",0,"Bachelor degree","Yes","Not very important","$125,000 and more","employement","born in Canada","Alberta"
"756",66,"Male",0,"High school","Yes","Very important","$25,000 to $49,999","employement","born outside canada","Quebec"
"758",48,"Male",0,"Less than high school","Yes","Not very important","$125,000 and more","employement","born in Canada","Nova Scotia"
"760",31,"Male",0,"High school","Yes","Not important at all","$25,000 to $49,999","employement","born in Canada","Quebec"
"761",54,"Male",0,"Trade diploma","Yes","Not very important","$100,000 to $ 124,999","employement","born in Canada","Ontario"
"767",38,"Female",1,"Bachelor degree","Yes","Somewhat important","$75,000 to $99,999","employement","born in Canada","Alberta"
"769",55,"Female",1,"Trade diploma","Yes","Not very important","$125,000 and more","unemployement","born in Canada","Ontario"
"772",54,"Male",0,"College","Yes","Not very important","$25,000 to $49,999","employement","born in Canada","Manitoba"
"776",42,"Male",0,"Bachelor degree","Yes","Somewhat important","$125,000 and more","employement","born outside canada","Alberta"
"777",40,"Male",1,"College","Yes","Not very important","Less than $25,000","employement","born outside canada","Manitoba"
"782",44,"Male",0,"College","Yes","Not important at all","$125,000 and more","employement","born outside canada","Manitoba"
"783",45,"Male",0,"High school","Yes","Not very important","$75,000 to $99,999","employement","born in Canada","Quebec"
"792",30,"Male",1,"Above bachelor","Yes","Not important at all","$125,000 and more","employement","born in Canada","British Columbia"
"793",64,"Male",1,"Above bachelor","Yes","Not important at all","$75,000 to $99,999","unemployement","born in Canada","British Columbia"
"795",36,"Female",1,"Above bachelor","Yes","Very important","$25,000 to $49,999","employement","born outside canada","British Columbia"
"796",74,"Male",0,"Less than high school","Yes","Very important","$25,000 to $49,999","employement","born in Canada","New Brunswick"
"801",43,"Female",1,"College","Yes","Somewhat important","$25,000 to $49,999","employement","born in Canada","Manitoba"
"803",47,"Male",1,"Above bachelor","Yes","Very important","$25,000 to $49,999","employement","born outside canada","British Columbia"
"810",44,"Female",0,"College","Yes","Somewhat important","$125,000 and more","employement","born in Canada","Manitoba"
"814",28,"Male",0,"College","Yes","Somewhat important","$25,000 to $49,999","unemployement","born in Canada","Manitoba"
"818",55,"Male",0,"Bachelor degree","Yes","Somewhat important","$100,000 to $ 124,999","employement","born outside canada","Alberta"
"820",61,"Male",0,"Bachelor degree","Yes","Not very important","$50,000 to $74,999","employement","born in Canada","Alberta"
"821",52,"Male",0,"High school","Yes","Very important","$75,000 to $99,999","employement","born in Canada","Quebec"
"822",45,"Male",1,"Bachelor degree","Yes","Not important at all","$75,000 to $99,999","employement","born in Canada","Alberta"
"825",42,"Female",1,"Bachelor degree","Yes","Somewhat important","$50,000 to $74,999","employement","born outside canada","Alberta"
"830",51,"Female",0,"Bachelor degree","Yes","Very important","$25,000 to $49,999","employement","born outside canada","Alberta"
"833",45,"Male",0,"High school","Yes","Very important","$125,000 and more","employement","born outside canada","Quebec"
"835",67,"Male",0,"Above bachelor","Yes","Somewhat important","$50,000 to $74,999","unemployement","born in Canada","British Columbia"
"846",36,"Female",0,"Above bachelor","No","Not important at all","Less than $25,000","unemployement","born in Canada","British Columbia"
"847",35,"Male",0,"High school","Yes","Very important","$125,000 and more","employement","born in Canada","Quebec"
"850",46,"Male",0,"College","Yes","Not very important","$125,000 and more","employement","born in Canada","Manitoba"
"851",47,"Female",0,"College","Yes","Not important at all","$50,000 to $74,999","employement","born outside canada","Manitoba"
"852",61,"Female",1,"Above bachelor","Yes","Somewhat important","$125,000 and more","employement","born in Canada","British Columbia"
